year,classification,female,male,non-binary
1971,Print,9.0,68.0,0.0
1971,Sculpture,0.0,18.0,0.0
1972,All,18.0,151.0,0.0
1972,Architecture,0.0,1.0,0.0
1972,Design,2.0,24.0,0.0
1972,Drawing,2.0,24.0,0.0
1972,Illustrated Book,0.0,7.0,0.0
1972,Painting,0.0,6.0,0.0
1972,Photograph,5.0,40.0,0.0
1972,Print,9.0,45.0,0.0
1972,Sculpture,0.0,4.0,0.0
1973,All,27.0,238.0,0.0
1973,Architecture,0.0,2.0,0.0
1973,Design,0.0,9.0,0.0
1973,Drawing,3.0,36.0,0.0
1973,Illustrated Book,2.0,18.0,0.0
1973,Multiple,0.0,1.0,0.0
1973,Painting,0.0,16.0,0.0
1973,Periodical,0.0,13.0,0.0
1973,Photograph,6.0,48.0,0.0
1973,Print,14.0,86.0,0.0
1973,Sculpture,2.0,9.0,0.0
1974,All,56.0,309.0,0.0
1974,Architecture,1.0,2.0,0.0
1974,Design,2.0,13.0,0.0
1974,Drawing,5.0,41.0,0.0
1974,Illustrated Book,3.0,15.0,0.0
1974,Installation,0.0,1.0,0.0
1974,Mies van der Rohe Archive,0.0,1.0,0.0
1974,Painting,1.0,10.0,0.0
1974,Photograph,13.0,46.0,0.0
1974,Print,29.0,172.0,0.0
1974,Sculpture,2.0,8.0,0.0
1975,All,27.0,211.0,0.0
1975,Architecture,0.0,1.0,0.0
1975,Design,4.0,9.0,0.0
1975,Drawing,1.0,36.0,0.0
1975,Fashion,0.0,1.0,0.0
1975,Illustrated Book,0.0,15.0,0.0
1975,Painting,1.0,18.0,0.0
1975,Photograph,8.0,50.0,0.0
1975,Print,10.0,64.0,0.0
1975,Sculpture,2.0,11.0,0.0
1975,Video,1.0,6.0,0.0
1976,All,20.0,272.0,0.0
1976,Architecture,0.0,2.0,0.0
1976,Design,0.0,34.0,0.0
1976,Drawing,6.0,35.0,0.0
1976,Illustrated Book,0.0,20.0,0.0
1976,Painting,2.0,16.0,0.0
1976,Photograph,5.0,61.0,0.0
1976,Print,6.0,93.0,0.0
1976,Sculpture,0.0,8.0,0.0
1976,Video,1.0,3.0,0.0
1977,All,60.0,326.0,0.0
1977,Design,3.0,54.0,0.0
1977,Drawing,12.0,52.0,0.0
1977,Illustrated Book,7.0,26.0,0.0
1977,Multiple,2.0,8.0,0.0
1977,Painting,2.0,14.0,0.0
1977,Photograph,7.0,61.0,0.0
1977,Print,27.0,104.0,0.0
1977,Sculpture,0.0,7.0,0.0
1978,All,46.0,307.0,0.0
1978,Architecture,0.0,2.0,0.0
1978,Design,2.0,35.0,0.0
1978,Drawing,20.0,137.0,0.0
1978,Illustrated Book,2.0,12.0,0.0
1978,Installation,0.0,1.0,0.0
1978,Painting,1.0,20.0,0.0
1978,Photograph,11.0,52.0,0.0
1978,Print,7.0,37.0,0.0
1978,Sculpture,3.0,11.0,0.0
1979,All,51.0,323.0,0.0
1979,Design,2.0,38.0,0.0
1979,Drawing,17.0,62.0,0.0
1979,Film,0.0,1.0,0.0
1979,Illustrated Book,1.0,14.0,0.0
1979,Installation,0.0,2.0,0.0
1979,Mies van der Rohe Archive,0.0,1.0,0.0
1979,Multiple,0.0,1.0,0.0
1979,Painting,6.0,31.0,0.0
1979,Periodical,0.0,1.0,0.0
1979,Photograph,9.0,60.0,0.0
1979,Print,11.0,82.0,0.0
1979,Sculpture,2.0,16.0,0.0
1979,Video,3.0,14.0,0.0
1980,All,40.0,204.0,0.0
1980,Architecture,0.0,5.0,0.0
1980,Design,6.0,47.0,0.0
